[20:54:05.485] === SYNC ANALYSIS LOG STARTED ===
Expected host send rate: 20Hz (50ms intervals)
Expected client interpolation rate: 30Hz (33ms intervals)
Format: [Time] Event: Details

[20:54:42.248] PHYSICS: Frame #1980, Jitter: 37,5ms, Prediction: 100,0%
[20:54:43.116] DATA_RX: Packet #370, Interval: 77,7ms, Jitter: 27,7ms
[20:54:43.264] PHYSICS: Frame #2040, Jitter: 43,0ms, Prediction: 100,0%
[20:54:44.197] DATA_RX: Packet #380, Interval: 214,8ms, Jitter: 164,8ms
[20:54:44.295] PHYSICS: Frame #2100, Jitter: 52,3ms, Prediction: 100,0%
[20:54:45.302] PHYSICS: Frame #2160, Jitter: 71,7ms, Prediction: 100,0%
[20:54:45.545] DATA_RX: Packet #390, Interval: 92,7ms, Jitter: 42,7ms
[20:54:46.323] PHYSICS: Frame #2220, Jitter: 73,1ms, Prediction: 100,0%
[20:54:46.441] DATA_RX: Packet #400, Interval: 93,3ms, Jitter: 43,3ms
[20:54:47.345] PHYSICS: Frame #2280, Jitter: 42,1ms, Prediction: 100,0%
[20:54:47.387] DATA_RX: Packet #410, Interval: 93,6ms, Jitter: 43,6ms
[20:54:48.196] DATA_RX: Packet #420, Interval: 92,3ms, Jitter: 42,3ms
[20:54:48.362] PHYSICS: Frame #2340, Jitter: 35,4ms, Prediction: 100,0%
[20:54:49.048] DATA_RX: Packet #430, Interval: 107,8ms, Jitter: 57,8ms
[20:54:49.394] PHYSICS: Frame #2400, Jitter: 35,2ms, Prediction: 100,0%
[20:54:50.009] DATA_RX: Packet #440, Interval: 107,0ms, Jitter: 57,0ms
[20:54:50.411] PHYSICS: Frame #2460, Jitter: 41,3ms, Prediction: 100,0%
[20:54:50.849] DATA_RX: Packet #450, Interval: 63,3ms, Jitter: 13,3ms
[20:54:51.431] PHYSICS: Frame #2520, Jitter: 37,5ms, Prediction: 100,0%
[20:54:51.749] DATA_RX: Packet #460, Interval: 61,9ms, Jitter: 11,9ms
[20:54:52.453] PHYSICS: Frame #2580, Jitter: 38,0ms, Prediction: 100,0%
[20:54:52.648] DATA_RX: Packet #470, Interval: 107,7ms, Jitter: 57,7ms
[20:54:53.464] PHYSICS: Frame #2640, Jitter: 40,1ms, Prediction: 100,0%
[20:54:53.549] DATA_RX: Packet #480, Interval: 60,9ms, Jitter: 10,9ms
[20:54:54.438] DATA_RX: Packet #490, Interval: 94,9ms, Jitter: 44,9ms
[20:54:54.483] PHYSICS: Frame #2700, Jitter: 39,5ms, Prediction: 100,0%
[20:54:55.300] DATA_RX: Packet #500, Interval: 98,8ms, Jitter: 48,8ms
[20:54:55.507] PHYSICS: Frame #2760, Jitter: 40,4ms, Prediction: 100,0%
[20:54:56.337] DATA_RX: Packet #510, Interval: 63,3ms, Jitter: 13,3ms
[20:54:56.531] PHYSICS: Frame #2820, Jitter: 49,0ms, Prediction: 100,0%
[20:54:57.487] DATA_RX: Packet #520, Interval: 92,6ms, Jitter: 42,6ms
[20:54:57.551] PHYSICS: Frame #2880, Jitter: 59,4ms, Prediction: 100,0%
[20:54:58.350] DATA_RX: Packet #530, Interval: 101,7ms, Jitter: 51,7ms
[20:54:58.575] PHYSICS: Frame #2940, Jitter: 43,2ms, Prediction: 100,0%
[20:54:59.215] DATA_RX: Packet #540, Interval: 78,1ms, Jitter: 28,1ms
[20:54:59.581] PHYSICS: Frame #3000, Jitter: 34,8ms, Prediction: 100,0%
[20:55:00.049] DATA_RX: Packet #550, Interval: 109,2ms, Jitter: 59,2ms
[20:55:00.604] PHYSICS: Frame #3060, Jitter: 33,1ms, Prediction: 100,0%
[20:55:00.935] DATA_RX: Packet #560, Interval: 88,4ms, Jitter: 38,4ms
[20:55:01.625] PHYSICS: Frame #3120, Jitter: 37,7ms, Prediction: 100,0%
[20:55:01.787] DATA_RX: Packet #570, Interval: 94,3ms, Jitter: 44,3ms
[20:55:02.640] DATA_RX: Packet #580, Interval: 87,6ms, Jitter: 37,6ms
[20:55:02.641] PHYSICS: Frame #3180, Jitter: 35,2ms, Prediction: 100,0%
[20:55:03.542] DATA_RX: Packet #590, Interval: 92,5ms, Jitter: 42,5ms
[20:55:03.676] PHYSICS: Frame #3240, Jitter: 39,4ms, Prediction: 100,0%
[20:55:04.399] DATA_RX: Packet #600, Interval: 62,8ms, Jitter: 12,8ms
[20:55:04.695] PHYSICS: Frame #3300, Jitter: 35,1ms, Prediction: 100,0%
